slug,effective_timesteps,training_wall_time_s,train_fps,status
alien,10000384,8548.130181312561,1169.891401731606,COMPLETED
asteroids,10000384,7123.470729351044,1403.8639842787768,COMPLETED
bowling,10000384,9537.842270374298,1048.4954265874592,COMPLETED
chopper_command,10000384,8847.388341903687,1130.320453170955,COMPLETED
enduro,10000384,14036.422479867935,712.459603887193,COMPLETED
frostbite,10000384,8478.3129196167,1179.5252304101218,COMPLETED
gopher,10000384,8363.610364437103,1195.7018039150437,COMPLETED
kung_fu_master,10000384,4222.97696185112,2368.088694383117,COMPLETED
montezuma_revenge,10000384,10985.869863510132,910.295144967678,COMPLETED
pitfall,10000384,24813.96381211281,403.0143702844591,COMPLETED
private_eye,10000384,11571.257745742798,864.2434746282667,COMPLETED
seaquest,10000384,10314.321584224701,969.5629439453531,COMPLETED
skiing,10000384,13200.02519083023,757.6034026773713,COMPLETED
solaris,10000384,30715.103332042694,325.58523055878413,COMPLETED
tennis,10000384,20125.31281709671,496.90576692574666,COMPLETED
venture,10000384,11340.752433776855,881.8095676099273,COMPLETED
